Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1e+06,5,7
1.001e+06,5,6
1.002e+06,6,3
1.003e+06,6,4
1.004e+06,6,0
1.005e+06,3,7
1.006e+06,5,8
1.00674e+06,6,8
1.00774e+06,5,7
1.00874e+06,4,10
1.00974e+06,5,7
1.01074e+06,6,4
1.01174e+06,3,3
1.01274e+06,6,1
1.01353e+06,5,5
1.01453e+06,4,6
1.01553e+06,5,6
1.01653e+06,5,5
1.01753e+06,5,3
1.01853e+06,4,2
1.01953e+06,4,4
1.02009e+06,5,4
1.02109e+06,6,4
1.02209e+06,3,5
1.02309e+06,3,4
1.02409e+06,6,9
1.02509e+06,4,4
1.02609e+06,3,7
1.02685e+06,5,8
1.02785e+06,4,6
1.02885e+06,3,4
1.02985e+06,5,7
1.03085e+06,4,6
1.03185e+06,6,4
1.03285e+06,5,2
1.03385e+06,6,3
1.03485e+06,2,6
