Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.67123e+06,5,3
1.67223e+06,4,7
1.67323e+06,3,7
1.67423e+06,3,9
1.67523e+06,4,5
1.67623e+06,4,3
1.67725e+06,4,3
1.67825e+06,4,2
1.67925e+06,7,15
1.68025e+06,3,10
1.68125e+06,6,7
1.68204e+06,6,3
1.68304e+06,5,3
1.68404e+06,4,7
1.68504e+06,3,4
1.68604e+06,6,8
1.68751e+06,4,6
1.68851e+06,5,7
1.68951e+06,7,5
1.69051e+06,6,7
1.69151e+06,7,5
1.69301e+06,5,4
1.69401e+06,2,7
1.69501e+06,5,6
1.69601e+06,3,5
1.69701e+06,5,8
1.69801e+06,3,3
1.69854e+06,3,4
1.69954e+06,5,6
1.70054e+06,4,6
1.70154e+06,4,8
1.70254e+06,4,11
1.70354e+06,4,1
1.70408e+06,3,4
1.70508e+06,4,14
1.70608e+06,3,6
1.70708e+06,5,9
1.70808e+06,2,4
1.70908e+06,4,7
