Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.06975e+06,3,3
1.07075e+06,4,4
1.07175e+06,2,7
1.07275e+06,2,5
1.07375e+06,3,4
1.07475e+06,3,5
1.07613e+06,4,5
1.07713e+06,3,3
1.07813e+06,5,3
1.07913e+06,5,6
1.08013e+06,1,3
1.08113e+06,4,2
1.08213e+06,2,3
1.08313e+06,4,3
1.08367e+06,3,8
1.08467e+06,4,5
1.08567e+06,3,5
1.08667e+06,3,6
1.08767e+06,4,7
1.08867e+06,5,7
1.08967e+06,2,4
1.09078e+06,4,7
1.09178e+06,3,5
1.09278e+06,3,5
1.09378e+06,4,4
1.09478e+06,2,5
1.09578e+06,2,6
1.09678e+06,6,6
1.09742e+06,4,7
1.09842e+06,5,8
1.09942e+06,6,7
1.10042e+06,3,11
1.10142e+06,2,4
1.10242e+06,1,4
1.10342e+06,5,2
1.1042e+06,1,10
1.1052e+06,3,5
1.1062e+06,3,4
1.1072e+06,4,3
1.1082e+06,3,8
1.1092e+06,4,6
1.1102e+06,2,3
1.1112e+06,3,4
