Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.74622e+06,1,0
1.74722e+06,5,1
1.74822e+06,5,4
1.74922e+06,2,7
1.7503e+06,2,6
1.7513e+06,5,6
1.7523e+06,2,3
1.7533e+06,4,7
1.75447e+06,3,3
1.75547e+06,6,9
1.75647e+06,5,7
1.75747e+06,1,3
1.75853e+06,4,5
1.75953e+06,4,7
1.76053e+06,3,3
1.76153e+06,4,3
1.76253e+06,4,5
1.76353e+06,4,4
1.76453e+06,3,6
1.76553e+06,4,4
1.76685e+06,5,10
1.76785e+06,5,3
1.76885e+06,5,6
1.76985e+06,5,4
1.77085e+06,3,1
1.77185e+06,2,2
1.77285e+06,4,4
1.77385e+06,5,8
1.77485e+06,6,7
1.77545e+06,7,2
1.77645e+06,4,3
1.77745e+06,6,8
1.77845e+06,5,5
1.77945e+06,5,13
1.78045e+06,4,13
1.78145e+06,4,5
1.78245e+06,4,11
1.78378e+06,6,5
1.78478e+06,6,2
1.78578e+06,8,5
1.78678e+06,5,5
1.78778e+06,5,3
1.78878e+06,3,8
1.78978e+06,5,4
1.791e+06,3,8
1.792e+06,5,13
1.793e+06,6,7
1.794e+06,4,2
1.795e+06,3,2
1.796e+06,5,5
1.797e+06,6,3
1.798e+06,3,4
1.79874e+06,5,5
1.79974e+06,2,4
1.80074e+06,5,11
1.80174e+06,4,1
1.80274e+06,3,2
1.80374e+06,2,0
1.80474e+06,4,4
1.80574e+06,3,3
1.80674e+06,4,4
1.80742e+06,2,4
1.80842e+06,4,1
1.80942e+06,6,6
1.81042e+06,4,6
1.81142e+06,5,6
1.81242e+06,5,5
1.81342e+06,5,4
1.81442e+06,7,4
1.81571e+06,6,5
1.81671e+06,2,2
1.81771e+06,4,4
1.81871e+06,4,1
1.81971e+06,5,6
1.82071e+06,2,3
1.82171e+06,5,4
1.82271e+06,5,6
1.82409e+06,4,2
1.82509e+06,3,11
1.82609e+06,3,0
1.82709e+06,5,6
1.82809e+06,5,3
1.82909e+06,4,4
1.83009e+06,4,4
1.83109e+06,4,0
1.83228e+06,3,8
1.83328e+06,5,8
1.83428e+06,5,7
1.83528e+06,4,5
1.83628e+06,5,3
1.83728e+06,4,12
1.83828e+06,4,4
1.83967e+06,6,4
1.84067e+06,6,5
1.84167e+06,4,4
1.84267e+06,3,5
1.84367e+06,4,5
1.84467e+06,2,4
1.84567e+06,2,4
1.84667e+06,6,4
