Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.40616e+06,5,10
1.40716e+06,4,8
1.40816e+06,4,5
1.40916e+06,3,4
1.41016e+06,2,3
1.41116e+06,2,7
1.41216e+06,3,7
1.41299e+06,2,3
1.41399e+06,2,2
1.41499e+06,2,6
1.41599e+06,3,1
1.41699e+06,1,4
1.41799e+06,3,3
1.41899e+06,3,4
1.41973e+06,4,2
1.42073e+06,2,2
1.42173e+06,4,3
1.42273e+06,5,2
1.42373e+06,3,5
1.42473e+06,2,3
1.42573e+06,4,5
1.42641e+06,3,3
1.42741e+06,1,0
1.42841e+06,2,4
1.42941e+06,2,4
1.43041e+06,6,3
1.43141e+06,3,5
1.43262e+06,1,1
1.43362e+06,3,4
1.43462e+06,4,3
1.43562e+06,3,2
1.43662e+06,3,6
1.43762e+06,1,5
1.43862e+06,1,4
1.43923e+06,1,2
1.44023e+06,2,5
1.44123e+06,3,4
1.44223e+06,1,6
1.44323e+06,1,6
1.44423e+06,3,3
1.44523e+06,1,8
1.44612e+06,2,5
1.44712e+06,4,2
1.44812e+06,4,4
1.44912e+06,5,7
1.45012e+06,3,7
1.45112e+06,3,6
1.45203e+06,4,5
1.45303e+06,4,6
1.45403e+06,4,9
1.45503e+06,9,9
1.45603e+06,5,3
1.45703e+06,5,6
1.45803e+06,3,2
1.45903e+06,5,3
