Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.70956e+06,4,3
1.71056e+06,4,2
1.71156e+06,4,8
1.71256e+06,4,2
1.71356e+06,6,7
1.71457e+06,5,6
1.71557e+06,7,5
1.71657e+06,4,3
1.71757e+06,3,4
1.71864e+06,6,4
1.71964e+06,6,8
1.72064e+06,2,4
1.72187e+06,3,0
1.72287e+06,2,4
1.72387e+06,3,3
1.72509e+06,3,8
1.72609e+06,4,0
1.72709e+06,3,3
1.72838e+06,3,3
1.72938e+06,3,2
1.73038e+06,6,3
1.73138e+06,3,7
1.73223e+06,5,9
1.73323e+06,5,9
1.73423e+06,5,6
1.73505e+06,3,4
1.73605e+06,5,1
1.73705e+06,2,1
1.73773e+06,2,4
1.73873e+06,3,2
1.73973e+06,2,1
1.74049e+06,3,7
1.74149e+06,3,3
1.74249e+06,3,2
1.74341e+06,4,3
1.74441e+06,2,2
1.74541e+06,2,2
