Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.37367e+06,3,5
1.37467e+06,4,3
1.37567e+06,4,4
1.37667e+06,1,3
1.37802e+06,2,7
1.37902e+06,3,9
1.38002e+06,4,3
1.38102e+06,2,5
1.38202e+06,4,7
1.38302e+06,3,5
1.38402e+06,2,5
1.3851e+06,4,11
1.3861e+06,3,4
1.3871e+06,3,5
1.3881e+06,3,9
1.3891e+06,3,7
1.3901e+06,3,6
1.3911e+06,3,7
1.3921e+06,3,5
1.39272e+06,9,4
1.39372e+06,7,10
1.39472e+06,3,8
1.39572e+06,5,9
1.39672e+06,3,6
1.39772e+06,2,5
1.39872e+06,4,13
1.39944e+06,4,8
1.40044e+06,3,4
1.40144e+06,3,5
1.40244e+06,4,7
1.40344e+06,4,8
1.40444e+06,4,6
1.40544e+06,5,6
