Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.33036e+06,4,6
1.33136e+06,8,11
1.33236e+06,6,8
1.33336e+06,4,6
1.33436e+06,4,8
1.33536e+06,3,4
1.33636e+06,3,4
1.33723e+06,3,7
1.33823e+06,4,2
1.33923e+06,3,5
1.34023e+06,4,8
1.34123e+06,4,8
1.34223e+06,5,2
1.34323e+06,4,5
1.34428e+06,5,11
1.34528e+06,4,6
1.34628e+06,4,9
1.34728e+06,3,12
1.34828e+06,1,3
1.34928e+06,3,6
1.35028e+06,4,5
1.35128e+06,4,2
1.35233e+06,3,6
1.35333e+06,3,5
1.35433e+06,1,6
1.35533e+06,2,3
1.35633e+06,3,1
1.35733e+06,4,6
1.35833e+06,3,3
1.35902e+06,2,1
1.36002e+06,3,4
1.36102e+06,2,1
1.36202e+06,1,4
1.36302e+06,3,2
1.36402e+06,1,6
1.36502e+06,3,2
1.36602e+06,1,2
1.36703e+06,3,0
1.36803e+06,7,3
1.36903e+06,4,5
1.37003e+06,3,3
1.37103e+06,4,4
1.37203e+06,4,10
1.37303e+06,2,9
