Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.26671e+06,3,9
1.26771e+06,2,3
1.26871e+06,3,2
1.26971e+06,2,2
1.27071e+06,2,1
1.27171e+06,3,1
1.27271e+06,2,2
1.27371e+06,2,4
1.27444e+06,1,5
1.27544e+06,1,0
1.27644e+06,2,4
1.27744e+06,2,2
1.27844e+06,3,4
1.27944e+06,2,3
1.28044e+06,2,0
1.28096e+06,4,6
1.28196e+06,4,5
1.28296e+06,3,3
1.28396e+06,0,6
1.28496e+06,1,2
1.28596e+06,2,2
1.28696e+06,2,4
1.28797e+06,2,4
1.28897e+06,4,4
1.28997e+06,1,2
1.29097e+06,2,1
1.29197e+06,2,7
1.29297e+06,2,4
1.29397e+06,1,2
1.29497e+06,1,3
1.29553e+06,4,4
1.29653e+06,5,4
1.29753e+06,1,5
1.29853e+06,1,3
1.29953e+06,2,6
1.30053e+06,1,6
1.30153e+06,5,9
1.30253e+06,4,2
