Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.20971e+06,0,2
1.21071e+06,4,5
1.21171e+06,1,10
1.21271e+06,1,4
1.21371e+06,3,7
1.21471e+06,2,6
1.21571e+06,2,8
1.21645e+06,2,4
1.21745e+06,3,2
1.21845e+06,4,6
1.21945e+06,5,6
1.22045e+06,2,3
1.22145e+06,1,3
1.22245e+06,2,5
1.22343e+06,2,2
1.22443e+06,1,7
1.22543e+06,1,5
1.22643e+06,2,2
1.22743e+06,3,6
1.22843e+06,2,3
1.22943e+06,2,4
1.23043e+06,3,7
1.2315e+06,2,2
1.2325e+06,1,3
1.2335e+06,2,4
1.2345e+06,1,3
1.2355e+06,2,3
1.2365e+06,2,3
1.2375e+06,1,3
1.2385e+06,0,4
1.23941e+06,2,3
1.24041e+06,3,3
1.24141e+06,1,4
1.24241e+06,0,3
1.24341e+06,1,1
1.24441e+06,0,0
1.24575e+06,0,1
1.24675e+06,1,4
1.24775e+06,2,1
1.24875e+06,0,3
1.24975e+06,3,3
1.25075e+06,3,4
1.25175e+06,2,3
1.25275e+06,3,4
1.25374e+06,2,1
1.25474e+06,1,2
1.25574e+06,2,3
1.25674e+06,3,4
1.25774e+06,3,9
1.25874e+06,2,4
1.25974e+06,4,5
1.26041e+06,2,4
1.26141e+06,4,4
1.26241e+06,2,0
1.26341e+06,4,2
1.26441e+06,2,2
1.26541e+06,2,5
1.26641e+06,3,2
