Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.03459e+06,5,3
1.03559e+06,6,5
1.03659e+06,6,4
1.03759e+06,5,4
1.03859e+06,4,7
1.03959e+06,5,3
1.04059e+06,3,3
1.04159e+06,5,4
1.04231e+06,7,3
1.04331e+06,5,9
1.04431e+06,3,2
1.04531e+06,4,6
1.04631e+06,4,5
1.04731e+06,4,3
1.04831e+06,4,10
1.04903e+06,2,7
1.05003e+06,3,7
1.05103e+06,3,3
1.05203e+06,4,7
1.05303e+06,6,14
1.05403e+06,3,4
1.05503e+06,5,8
1.05563e+06,4,10
1.05663e+06,4,9
1.05763e+06,3,8
1.05863e+06,3,5
1.05963e+06,3,6
1.06063e+06,7,7
1.06163e+06,4,7
1.06263e+06,3,5
1.06315e+06,2,3
1.06415e+06,3,5
1.06515e+06,4,5
1.06615e+06,3,5
1.06715e+06,4,3
1.06815e+06,3,2
1.06915e+06,1,6
