Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.0766e+06,3,1
1.0776e+06,2,5
1.0786e+06,5,5
1.0796e+06,2,6
1.0806e+06,4,6
1.0816e+06,4,9
1.0826e+06,2,8
1.0836e+06,4,4
1.08439e+06,4,6
1.08539e+06,3,4
1.08639e+06,4,5
1.08739e+06,6,7
1.08839e+06,5,9
1.08939e+06,2,4
1.09039e+06,7,8
1.09139e+06,6,6
1.09239e+06,5,3
1.09346e+06,5,2
1.09446e+06,4,10
1.09546e+06,5,7
1.09646e+06,6,9
1.09746e+06,6,10
1.09846e+06,7,13
1.09946e+06,10,7
1.10081e+06,4,8
1.10181e+06,5,9
1.10281e+06,8,7
1.10381e+06,9,14
1.10481e+06,5,5
1.10581e+06,5,9
1.10681e+06,6,5
1.10781e+06,3,7
1.10838e+06,4,1
1.10938e+06,4,5
1.11038e+06,5,8
1.11138e+06,6,14
1.11238e+06,6,8
1.11338e+06,4,6
1.11438e+06,5,13
1.11587e+06,6,8
1.11687e+06,5,9
1.11787e+06,5,9
1.11887e+06,4,6
1.11987e+06,4,7
1.12087e+06,6,7
1.12187e+06,5,7
1.12296e+06,5,6
1.12396e+06,5,10
1.12496e+06,3,12
1.12596e+06,4,2
1.12696e+06,2,5
1.12796e+06,5,9
1.12896e+06,5,4
1.13037e+06,3,6
1.13137e+06,3,6
1.13237e+06,3,8
1.13337e+06,3,3
1.13437e+06,3,8
1.13537e+06,2,6
1.13637e+06,3,6
1.13784e+06,5,10
1.13884e+06,6,8
1.13984e+06,5,14
1.14084e+06,7,5
1.14184e+06,3,6
1.14284e+06,3,6
1.14384e+06,3,4
1.14484e+06,3,6
1.14538e+06,3,6
1.14638e+06,4,7
1.14738e+06,2,2
1.14838e+06,2,5
1.14938e+06,3,2
1.15038e+06,4,5
1.15138e+06,4,5
1.15238e+06,3,3
