Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.89272e+06,5,4
1.89372e+06,5,5
1.89472e+06,6,4
1.89572e+06,6,3
1.89672e+06,5,3
1.89772e+06,7,6
1.89872e+06,7,6
1.89972e+06,10,2
1.90045e+06,13,8
1.90145e+06,10,10
1.90245e+06,8,8
1.90345e+06,8,12
1.90445e+06,10,6
1.90545e+06,9,5
1.90645e+06,8,10
1.90788e+06,6,5
1.90888e+06,6,5
1.90988e+06,8,3
1.91088e+06,10,4
1.91188e+06,6,5
1.91288e+06,6,6
1.91388e+06,10,9
1.91488e+06,8,7
1.91588e+06,7,9
1.91653e+06,8,5
1.91753e+06,9,10
1.91853e+06,7,8
1.91953e+06,7,5
1.92053e+06,8,6
1.92153e+06,7,8
1.92253e+06,8,6
1.92353e+06,9,8
1.92419e+06,11,8
1.92519e+06,6,10
1.92619e+06,4,6
1.92719e+06,5,9
1.92819e+06,5,6
1.92919e+06,4,4
1.93019e+06,11,8
1.93119e+06,5,5
1.93207e+06,5,15
1.93307e+06,11,11
1.93407e+06,7,9
1.93507e+06,8,11
1.93607e+06,8,3
1.93707e+06,10,7
1.93807e+06,10,9
1.93907e+06,8,9
1.94027e+06,8,9
1.94127e+06,6,7
1.94227e+06,5,6
1.94327e+06,8,5
1.94427e+06,5,8
1.94527e+06,6,7
1.94627e+06,6,8
1.94727e+06,7,4
1.94827e+06,7,8
1.94927e+06,6,5
1.95027e+06,6,6
1.95127e+06,6,0
1.95227e+06,6,5
1.95327e+06,6,9
1.95427e+06,8,7
1.95506e+06,5,4
1.95606e+06,7,9
1.95706e+06,7,1
1.95806e+06,8,9
1.95906e+06,6,8
1.96006e+06,7,5
1.96106e+06,7,7
1.96206e+06,7,2
1.96355e+06,7,7
1.96455e+06,7,5
1.96555e+06,7,6
1.96655e+06,7,7
1.96755e+06,7,8
1.96855e+06,9,4
1.96955e+06,4,4
1.97055e+06,4,10
1.9714e+06,6,5
1.9724e+06,3,4
1.9734e+06,3,5
1.9744e+06,6,7
1.9754e+06,7,7
1.9764e+06,8,8
1.9774e+06,6,2
1.9784e+06,5,5
1.97968e+06,6,6
1.98068e+06,3,3
1.98168e+06,4,6
1.98268e+06,4,4
1.98368e+06,5,2
1.98468e+06,2,4
1.98568e+06,4,3
1.98669e+06,3,7
1.98769e+06,6,7
1.98869e+06,4,6
1.98969e+06,3,7
1.99069e+06,3,2
1.99169e+06,3,10
1.99269e+06,4,6
1.99365e+06,7,11
1.99465e+06,6,4
1.99565e+06,7,6
1.99665e+06,7,5
1.99765e+06,4,11
1.99865e+06,9,6
1.99965e+06,6,7
