Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.43138e+06,5,0
1.43238e+06,1,3
1.43338e+06,1,2
1.43438e+06,1,2
1.43538e+06,1,6
1.43638e+06,1,0
1.43738e+06,2,4
1.43838e+06,5,8
1.4393e+06,2,7
1.4403e+06,2,4
1.4413e+06,2,4
1.4423e+06,2,7
1.4433e+06,1,0
1.4443e+06,3,1
1.4453e+06,1,1
1.4463e+06,2,2
1.44712e+06,1,2
1.44812e+06,2,2
1.44912e+06,1,0
1.45012e+06,1,1
1.45112e+06,1,0
1.45212e+06,3,4
1.45312e+06,1,0
1.45439e+06,2,3
1.45539e+06,3,5
1.45639e+06,2,2
1.45739e+06,1,3
1.45839e+06,1,2
1.45939e+06,1,3
1.46039e+06,4,4
1.46139e+06,3,1
1.4628e+06,2,1
1.4638e+06,2,5
1.4648e+06,2,2
1.4658e+06,1,6
1.4668e+06,1,5
1.4678e+06,1,1
1.4688e+06,3,3
1.4698e+06,2,3
1.4708e+06,1,3
1.47132e+06,2,2
1.47232e+06,3,3
1.47332e+06,3,2
1.47432e+06,2,3
1.47532e+06,1,2
1.47632e+06,1,0
1.47732e+06,1,2
1.47832e+06,3,4
1.47945e+06,1,3
1.48045e+06,1,1
1.48145e+06,1,2
1.48245e+06,1,3
1.48345e+06,1,2
1.48445e+06,1,3
1.48545e+06,2,2
1.48645e+06,2,5
1.48731e+06,3,3
1.48831e+06,4,2
1.48931e+06,1,0
1.49031e+06,4,3
1.49131e+06,3,8
1.49231e+06,1,3
1.49331e+06,2,4
1.49462e+06,3,6
1.49562e+06,2,2
1.49662e+06,4,5
1.49762e+06,3,4
1.49862e+06,2,4
1.49962e+06,3,2
1.50062e+06,3,3
1.50162e+06,3,3
1.50262e+06,1,1
