Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.6118e+06,8,8
1.6128e+06,6,7
1.6138e+06,6,4
1.6148e+06,9,3
1.6158e+06,6,5
1.6168e+06,9,3
1.6178e+06,7,1
1.61906e+06,4,3
1.62006e+06,1,2
1.62106e+06,3,1
1.62206e+06,6,3
1.62306e+06,4,6
1.62406e+06,7,2
1.62506e+06,4,4
1.62618e+06,7,3
1.62718e+06,7,4
1.62818e+06,6,3
1.62918e+06,6,5
1.63018e+06,8,2
1.63118e+06,8,4
1.63218e+06,7,7
1.63349e+06,5,5
1.63449e+06,5,4
1.63549e+06,7,4
1.63649e+06,6,2
1.63749e+06,5,2
1.63849e+06,5,11
1.63949e+06,8,4
1.64049e+06,6,6
1.64141e+06,7,8
1.64241e+06,5,6
1.64341e+06,5,4
1.64441e+06,4,5
1.64541e+06,5,3
1.64641e+06,7,1
1.64741e+06,4,3
1.64841e+06,8,7
1.64939e+06,4,3
1.65039e+06,4,3
1.65139e+06,6,4
1.65239e+06,4,7
1.65339e+06,3,4
1.65439e+06,5,3
1.65539e+06,5,7
1.65639e+06,4,4
1.65788e+06,4,4
1.65888e+06,4,4
1.65988e+06,4,6
1.66088e+06,3,2
1.66188e+06,6,1
1.66288e+06,4,4
1.66388e+06,7,6
1.66488e+06,5,5
1.66637e+06,5,2
1.66737e+06,4,7
1.66837e+06,4,1
1.66937e+06,7,3
1.67037e+06,7,4
1.67137e+06,3,4
1.67237e+06,2,5
1.67337e+06,3,1
1.67437e+06,5,5
1.67488e+06,5,5
1.67588e+06,5,3
1.67688e+06,4,2
1.67788e+06,4,5
1.67888e+06,5,6
1.67988e+06,6,5
1.68088e+06,8,5
1.68184e+06,8,5
1.68284e+06,6,6
1.68384e+06,6,3
1.68484e+06,8,8
1.68584e+06,5,6
1.68684e+06,5,5
1.68784e+06,6,7
1.68907e+06,8,5
1.69007e+06,5,7
1.69107e+06,4,8
1.69207e+06,4,4
1.69307e+06,7,3
1.69407e+06,6,4
1.69507e+06,4,4
1.69607e+06,3,4
1.69707e+06,3,8
1.69767e+06,4,3
1.69867e+06,4,4
1.69967e+06,4,5
1.70067e+06,5,7
1.70167e+06,7,5
1.70267e+06,7,6
1.70367e+06,6,7
1.705e+06,7,3
1.706e+06,7,4
1.707e+06,6,4
1.708e+06,7,6
1.709e+06,5,5
1.71e+06,6,5
1.711e+06,5,5
1.71235e+06,4,4
1.71335e+06,5,5
1.71435e+06,5,2
1.71535e+06,5,11
1.71635e+06,5,4
1.71735e+06,6,6
1.71835e+06,7,4
1.71935e+06,5,4
1.72079e+06,7,5
1.72179e+06,7,1
1.72279e+06,8,8
1.72379e+06,8,2
1.72479e+06,6,6
1.72579e+06,6,3
1.72679e+06,8,6
1.72779e+06,6,7
1.72879e+06,4,4
1.72954e+06,5,6
1.73054e+06,8,4
1.73154e+06,7,4
1.73254e+06,7,3
1.73354e+06,4,4
1.73454e+06,5,7
1.73554e+06,5,4
1.73654e+06,7,3
