Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.00898e+06,2,6
1.00998e+06,2,4
1.01098e+06,2,1
1.01198e+06,2,3
1.01298e+06,2,6
1.01398e+06,2,6
1.01498e+06,3,3
1.01598e+06,4,2
1.01668e+06,5,14
1.01768e+06,4,4
1.01868e+06,4,4
1.01968e+06,3,4
1.02068e+06,3,4
1.02168e+06,4,3
1.02268e+06,3,3
1.02368e+06,4,1
1.02468e+06,4,6
1.02545e+06,4,4
1.02645e+06,4,4
1.02745e+06,4,1
1.02845e+06,2,5
1.02945e+06,2,5
1.03045e+06,2,3
1.03145e+06,3,5
1.03245e+06,2,4
1.03359e+06,2,4
1.03459e+06,2,3
1.03559e+06,3,3
1.03659e+06,2,3
1.03759e+06,3,6
1.03859e+06,3,3
1.03959e+06,3,5
1.04059e+06,2,7
1.04148e+06,4,7
1.04248e+06,3,7
1.04348e+06,2,2
1.04448e+06,2,3
1.04548e+06,3,1
1.04648e+06,4,3
1.04748e+06,2,8
1.04848e+06,2,4
1.04948e+06,2,2
1.05014e+06,2,5
1.05114e+06,4,8
1.05214e+06,2,4
1.05314e+06,3,6
1.05414e+06,5,7
1.05514e+06,2,3
1.05614e+06,3,1
1.05714e+06,3,3
1.05814e+06,5,4
1.05911e+06,4,13
1.06011e+06,7,13
1.06111e+06,3,8
1.06211e+06,2,5
1.06311e+06,5,7
1.06411e+06,3,4
1.06511e+06,5,6
1.06611e+06,5,8
1.06711e+06,5,5
1.06776e+06,4,5
1.06876e+06,2,4
1.06976e+06,3,4
1.07076e+06,4,4
1.07176e+06,4,5
1.07276e+06,4,11
1.07376e+06,6,7
1.07476e+06,2,7
1.07576e+06,5,4
