Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.73701e+06,5,5
1.73801e+06,7,5
1.73901e+06,5,7
1.74001e+06,7,4
1.74101e+06,9,4
1.74201e+06,9,9
1.74301e+06,6,3
1.74401e+06,6,2
1.74516e+06,9,4
1.74616e+06,5,2
1.74716e+06,6,4
1.74816e+06,7,6
1.74916e+06,7,7
1.75016e+06,4,1
1.75116e+06,6,3
1.75216e+06,4,1
1.75326e+06,4,4
1.75426e+06,7,7
1.75526e+06,6,5
1.75626e+06,8,5
1.75726e+06,6,2
1.75826e+06,2,2
1.75926e+06,6,4
1.76015e+06,4,2
1.76115e+06,6,4
1.76215e+06,3,4
1.76315e+06,5,5
1.76415e+06,5,4
1.76515e+06,8,8
1.76615e+06,7,6
1.7671e+06,5,3
1.7681e+06,5,3
1.7691e+06,5,4
1.7701e+06,4,6
1.7711e+06,6,6
1.7721e+06,6,4
1.7731e+06,4,7
1.77457e+06,5,2
1.77557e+06,4,3
1.77657e+06,5,5
1.77757e+06,4,4
1.77857e+06,4,3
1.77957e+06,3,6
1.78057e+06,5,3
1.78157e+06,4,4
1.78257e+06,5,4
1.78357e+06,4,3
1.78457e+06,5,3
1.78557e+06,1,5
1.78657e+06,4,2
1.78757e+06,5,5
1.78857e+06,3,4
1.78957e+06,5,2
1.79063e+06,5,4
1.79163e+06,7,2
1.79263e+06,3,5
1.79363e+06,4,3
1.79463e+06,6,11
1.79563e+06,5,2
1.79663e+06,5,5
1.79763e+06,4,6
1.79869e+06,5,1
1.79969e+06,6,7
1.80069e+06,7,6
1.80169e+06,9,6
1.80269e+06,6,3
1.80369e+06,6,7
1.80469e+06,6,6
1.80565e+06,7,6
1.80665e+06,5,7
1.80765e+06,6,3
1.80865e+06,5,5
1.80965e+06,7,6
1.81065e+06,6,3
1.81165e+06,6,12
1.81265e+06,7,9
1.81401e+06,4,6
1.81501e+06,5,6
1.81601e+06,4,6
1.81701e+06,6,9
1.81801e+06,6,11
1.81901e+06,9,8
1.82001e+06,7,8
1.82101e+06,5,2
1.82201e+06,3,3
1.8226e+06,5,4
1.8236e+06,5,4
1.8246e+06,5,5
1.8256e+06,3,6
1.8266e+06,5,4
1.8276e+06,6,6
1.8286e+06,4,7
1.8296e+06,6,13
1.8306e+06,7,7
1.83113e+06,5,2
1.83213e+06,5,3
1.83313e+06,5,4
1.83413e+06,4,5
1.83513e+06,4,4
1.83613e+06,7,3
1.83713e+06,4,3
1.83813e+06,6,4
1.83931e+06,8,4
1.84031e+06,5,6
1.84131e+06,5,8
1.84231e+06,9,8
1.84331e+06,5,4
1.84431e+06,6,4
1.84531e+06,5,2
1.84631e+06,6,5
1.84731e+06,3,4
1.84797e+06,5,3
1.84897e+06,8,5
1.84997e+06,3,4
1.85097e+06,6,8
1.85197e+06,6,9
1.85297e+06,6,9
1.85397e+06,6,4
1.85522e+06,6,8
1.85622e+06,6,6
1.85722e+06,3,7
1.85822e+06,4,5
1.85922e+06,6,3
1.86022e+06,4,5
1.86122e+06,5,4
1.86237e+06,3,7
1.86337e+06,5,6
1.86437e+06,4,1
1.86537e+06,4,4
1.86637e+06,3,7
1.86737e+06,3,6
1.86837e+06,6,5
1.86981e+06,3,7
1.87081e+06,4,3
1.87181e+06,6,4
1.87281e+06,6,3
1.87381e+06,5,7
1.87481e+06,7,4
1.87581e+06,7,3
1.87715e+06,10,5
1.87815e+06,9,6
1.87915e+06,6,13
1.88015e+06,8,11
1.88115e+06,8,6
1.88215e+06,5,8
1.88315e+06,9,9
1.88433e+06,5,6
1.88533e+06,5,2
1.88633e+06,5,4
1.88733e+06,6,6
1.88833e+06,4,3
1.88933e+06,5,9
1.89033e+06,5,5
1.89133e+06,7,4
1.89233e+06,7,1
