Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.50287e+06,2,4
1.50387e+06,2,4
1.50487e+06,2,3
1.50587e+06,2,3
1.50687e+06,2,4
1.50787e+06,2,3
1.50887e+06,2,3
1.50987e+06,3,5
1.51063e+06,2,2
1.51163e+06,2,6
1.51263e+06,2,1
1.51363e+06,2,3
1.51463e+06,3,1
1.51563e+06,4,1
1.51663e+06,3,4
1.51763e+06,4,8
1.51863e+06,3,4
1.51924e+06,3,2
1.52024e+06,1,3
1.52124e+06,1,2
1.52224e+06,2,1
1.52324e+06,1,2
1.52424e+06,1,4
1.52524e+06,1,3
1.52624e+06,2,1
1.52719e+06,1,2
1.52819e+06,1,0
1.52919e+06,1,3
1.53019e+06,1,7
1.53119e+06,2,4
1.53219e+06,1,4
1.53319e+06,1,5
1.53419e+06,2,6
1.53483e+06,0,5
1.53583e+06,0,2
1.53683e+06,0,0
1.53783e+06,0,0
1.53883e+06,2,4
1.53983e+06,1,3
1.54083e+06,4,3
1.54183e+06,2,1
1.54258e+06,1,0
1.54358e+06,1,4
1.54458e+06,3,4
1.54558e+06,2,4
1.54658e+06,2,3
1.54758e+06,2,0
1.54858e+06,3,3
1.54958e+06,5,2
1.55058e+06,5,3
1.5511e+06,2,3
1.5521e+06,3,8
1.5531e+06,2,3
1.5541e+06,3,1
1.5551e+06,2,5
1.5561e+06,3,5
1.5571e+06,2,3
1.55853e+06,2,3
1.55953e+06,1,7
1.56053e+06,3,3
1.56153e+06,3,2
1.56253e+06,3,2
1.56353e+06,1,2
1.56453e+06,4,2
1.56553e+06,3,4
1.56653e+06,3,5
1.56753e+06,6,5
1.56853e+06,3,1
1.56953e+06,3,4
1.57053e+06,5,4
1.57153e+06,3,4
1.57253e+06,4,5
1.57353e+06,2,4
1.57489e+06,4,2
1.57589e+06,4,4
1.57689e+06,6,8
1.57789e+06,4,6
1.57889e+06,6,6
1.57989e+06,6,6
1.58089e+06,5,3
1.58189e+06,4,6
1.5824e+06,4,5
1.5834e+06,2,4
1.5844e+06,4,5
1.5854e+06,2,7
1.5864e+06,6,3
1.5874e+06,3,2
1.5884e+06,3,4
1.5896e+06,1,5
1.5906e+06,4,5
1.5916e+06,4,3
1.5926e+06,2,4
1.5936e+06,3,4
1.5946e+06,3,5
1.5956e+06,2,1
1.59709e+06,2,1
1.59809e+06,2,4
1.59909e+06,7,4
1.60009e+06,6,5
1.60109e+06,6,4
1.60209e+06,3,3
1.60309e+06,4,4
1.60403e+06,5,8
1.60503e+06,10,3
1.60603e+06,8,1
1.60703e+06,8,2
1.60803e+06,6,4
1.60903e+06,7,4
1.61003e+06,8,3
1.61103e+06,7,3
