Time (ps),fter lsq fit to Backbone
0.0000000,0.0005044
1.0000000,0.2105808
2.0000000,0.2357331
3.0000002,0.2438154
4.0000000,0.2213195
5.0000000,0.2555472
6.0000005,0.2240289
6.7600002,0.2164904
7.7600002,0.2436792
8.7600002,0.2097747
9.7600002,0.2323765
10.7600002,0.2047918
11.7600002,0.2300703
12.7600002,0.2133012
13.7600002,0.2251355
14.8600006,0.2768165
15.8600006,0.2795318
16.8600006,0.2647496
17.8600006,0.2447249
18.8600006,0.2779265
19.8600006,0.2609623
20.8600006,0.3075044
21.6100006,0.2636108
22.6100006,0.2577546
23.6100006,0.3078582
24.6100006,0.3154817
25.6100006,0.3069887
26.6100006,0.3135335
27.9100018,0.3276103
28.9100018,0.3212839
29.9100018,0.3046094
30.9100018,0.2710695
31.9100018,0.2953281
32.9099998,0.3070326
34.3200035,0.2693211
35.3200035,0.2613286
36.3200035,0.2750582
37.3200035,0.2808531
38.3200035,0.2925952
39.3200035,0.2803841
40.3200035,0.2983315
41.6600037,0.3107013
42.6600037,0.3082133
43.6600037,0.2975254
44.6600037,0.3212914
45.6600037,0.3090814
46.6600037,0.2944988
47.6600037,0.3008279
48.3300018,0.2774661
49.3300018,0.2981726
50.3300018,0.2969569
51.3300018,0.2967953
52.3300018,0.2743166
53.3300018,0.2759768
54.3300018,0.2840315
54.8700027,0.2836165
55.8700027,0.2900875
56.8700027,0.2974352
57.8700027,0.2912488
58.8700027,0.2975148
59.8700027,0.3005806
60.8700027,0.3049850
61.6700020,0.3198651
62.6700020,0.3294017
63.6700020,0.2977138
64.6700058,0.3206704
65.6700058,0.3202559
66.6700058,0.3055891
67.6700058,0.3158289
68.2700043,0.3317104
69.2700043,0.3483259
70.2700043,0.3432356
71.2700043,0.3224262
72.2700043,0.3238997
73.2700043,0.3492847
74.2700043,0.3507313
74.9600067,0.3649854
75.9600067,0.3484413
76.9600067,0.3581183
77.9600067,0.3307298
78.9600067,0.3388451
79.9600067,0.3454795
80.9600067,0.3459113
82.1100006,0.3359815
83.1100006,0.3553717
84.1100006,0.3503986
85.1100006,0.3535759
86.1100006,0.3384114
87.1100006,0.3399105
88.1100006,0.3323300
88.7800064,0.3530515
89.7800064,0.3289899
90.7800064,0.3320179
91.7800064,0.3452331
92.7800064,0.3584789
93.7800064,0.3298437
94.7800064,0.3113939
95.7800064,0.3356660
96.7800064,0.3487112
97.7800064,0.3447971
98.7800064,0.3406790
99.7800064,0.3513861
100.7800064,0.3397785
101.7800064,0.3456830
102.7800064,0.3537459
103.7800064,0.3546005
104.7800064,0.3413106
105.7800064,0.3463123
106.7800064,0.3382713
107.7800064,0.3464100
108.7800064,0.3227242
109.7800064,0.3280553
110.7800064,0.3446656
111.7800064,0.3199665
112.7800064,0.3426959
113.7800064,0.3462538
114.7800064,0.3487498
115.7800064,0.3483846
116.7800064,0.3474552
117.7800064,0.3386396
118.7800064,0.3481584
119.7800064,0.3510000
120.7800064,0.3397558
121.7800064,0.3431195
122.7800064,0.3627322
123.7800064,0.3534631
124.7800064,0.3501738
125.7800064,0.3491135
126.7800064,0.3478769
127.7800064,0.3474175
128.7799988,0.3325482
129.7799988,0.3309479
130.7799988,0.3269092
131.7799988,0.3335580
132.7799988,0.3369949
133.7799988,0.3412589
134.7799988,0.3465676
135.7800140,0.3255123
136.7800140,0.3394004
137.7800140,0.3277478
138.7800140,0.3513908
139.7800140,0.3430302
140.7800140,0.3517480
142.0100098,0.3410818
143.0100098,0.3286974
144.0100098,0.3244059
145.0100098,0.3362516
146.0100098,0.3204109
147.0100098,0.3345121
148.0100098,0.3486159
148.8800049,0.3539085
150.0000000,0.3459033
151.0000000,0.3277382
152.0000000,0.3426439
153.0000000,0.3263708
154.0000000,0.3159085
155.0000000,0.3739124
156.0000000,0.3485841
156.6000061,0.3473584
157.6000061,0.3331629
158.6000061,0.3389769
159.6000061,0.3504319
160.6000061,0.3459652
161.6000061,0.3212492
162.6000061,0.3237640
163.6000061,0.3312052
164.5700073,0.3293698
165.5700073,0.3299496
166.5700073,0.3224168
167.5700073,0.3308827
168.5700073,0.3173125
169.5700073,0.3293929
170.5700073,0.3374135
171.5700073,0.3326632
172.3900146,0.3246029
173.3900146,0.3285358
174.3900146,0.3295038
175.3900146,0.3381617
176.3900146,0.3301860
177.3900146,0.3312542
178.3900146,0.3269322
179.6200104,0.3330665
180.6200104,0.3173263
181.6200104,0.3365223
182.6200104,0.3398449
183.6200104,0.3359118
184.6200104,0.3284218
185.6200104,0.3099001
186.4000092,0.3462797
187.4000092,0.3309651
188.4000092,0.3156145
189.4000092,0.3381272
190.4000092,0.3219174
191.4000092,0.3274840
192.4000092,0.3413345
193.8900146,0.3286076
194.8900146,0.3260400
195.8900146,0.3338045
196.8900146,0.3356382
197.8900146,0.3306262
198.8900146,0.3333694
199.8900146,0.3473909
200.6900024,0.3486501
201.6900024,0.3413999
202.6900024,0.3564429
203.6900024,0.3470228
204.6900024,0.3429489
205.6900024,0.3294445
206.6900024,0.3375175
208.0200043,0.3517947
209.0200043,0.3460849
210.0200043,0.3220282
211.0200043,0.3390048
212.0200043,0.3197771
213.0200043,0.3261268
214.0200043,0.3123000
214.8400116,0.3047980
215.8400116,0.2988620
216.8400116,0.3204135
217.8400116,0.3027779
218.8400116,0.3117487
219.8400116,0.3027988
220.8400116,0.3078418
221.9400177,0.3072031
222.9400177,0.3237618
223.9400177,0.3295083
224.9400177,0.3218915
225.9400177,0.3203909
226.9400177,0.3366466
227.9400177,0.3183767
229.3900146,0.3258168
230.3900146,0.3105333
231.3900146,0.3255738
232.3900146,0.3317615
233.3900146,0.3102924
234.3900146,0.3136450
235.3900146,0.3243122
