Time (ps),fter lsq fit to Backbone
190.8400116,0.3479488
191.8400116,0.3514683
192.8400116,0.3517296
194.2800140,0.3402010
195.2800140,0.3512022
196.2800140,0.3458297
197.2800140,0.3627105
198.2800140,0.3350940
199.2800140,0.3218065
200.2800140,0.3218552
201.2800140,0.3286680
202.2800140,0.3363290
202.8400116,0.3630060
203.8400116,0.3535936
204.8400116,0.3457033
205.8400116,0.3455808
206.8400116,0.3216702
207.8400116,0.3371874
208.8400116,0.3152392
209.8400116,0.3373778
211.0100098,0.3377685
212.0100098,0.3401327
213.0100098,0.3398532
214.0100098,0.3623296
215.0100098,0.3532400
216.0100098,0.3727874
217.0100098,0.3660776
218.0100098,0.3562608
219.0100098,0.3597852
219.6100159,0.3517675
220.6100159,0.3579241
221.6100159,0.3545487
222.6100159,0.3447655
223.6100159,0.3208104
224.6100159,0.3473234
225.6100159,0.3328811
226.6100159,0.3353260
227.7500153,0.3259758
228.7500153,0.3349383
229.7500153,0.3225469
230.7500153,0.3331897
231.7500153,0.3082156
232.7500153,0.3234906
233.7500153,0.3308165
234.9400177,0.3378321
235.9400177,0.3374916
236.9400177,0.3458712
237.9400177,0.3497573
238.9400177,0.3302226
239.9400177,0.3110162
240.9400177,0.3430854
241.9400177,0.3278588
242.9400177,0.3394971
243.8600159,0.3419180
244.8600159,0.3392445
245.8600159,0.3344648
246.8600159,0.3572543
247.8600159,0.3499469
248.8600159,0.3419270
249.8600159,0.3330137
250.8600159,0.3422309
251.8600159,0.3303019
252.5200195,0.3582971
253.5200195,0.3449459
254.5200195,0.3735420
255.5200195,0.3661543
256.5200195,0.3572904
257.5200195,0.3581960
258.5200195,0.3405236
259.5200195,0.3634797
260.5200195,0.3641931
261.5200195,0.3853450
262.5200195,0.3796851
263.5200195,0.3531861
264.5200195,0.3506891
265.5200195,0.3385974
266.5200195,0.3559584
267.5200195,0.3884120
268.5200195,0.3567000
269.5200195,0.3860421
270.1900024,0.3919948
271.1900024,0.3927994
272.1900024,0.3849402
273.1900024,0.3828017
274.1900024,0.3675173
275.1900024,0.3789147
276.1900024,0.3691969
277.1900024,0.3613306
