Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.46131e+06,4,7
1.46231e+06,4,9
1.46331e+06,4,6
1.46431e+06,5,6
1.46531e+06,6,9
1.46631e+06,2,8
1.46731e+06,9,6
1.46831e+06,9,10
1.46931e+06,5,7
1.47031e+06,7,9
1.47131e+06,7,5
1.47231e+06,5,4
1.47331e+06,3,6
1.47431e+06,5,9
1.47531e+06,4,6
1.47631e+06,3,10
1.47731e+06,3,7
1.47831e+06,3,7
1.47931e+06,10,8
1.48031e+06,7,6
1.48131e+06,8,5
1.48231e+06,5,7
1.48331e+06,7,9
1.48431e+06,11,9
1.48531e+06,4,5
1.48631e+06,5,5
1.48731e+06,4,3
1.48831e+06,5,3
1.48931e+06,6,7
1.49031e+06,7,7
1.49131e+06,8,6
1.49231e+06,5,5
1.49331e+06,9,7
1.49431e+06,8,8
1.49531e+06,8,7
1.49631e+06,7,9
1.49731e+06,12,5
1.49831e+06,7,12
1.49931e+06,7,5
1.50031e+06,6,8
1.50131e+06,6,6
1.50231e+06,6,4
1.50331e+06,8,3
1.50431e+06,8,6
1.50531e+06,8,8
1.50631e+06,7,6
1.50731e+06,7,9
1.50831e+06,10,9
1.50931e+06,4,11
1.51031e+06,9,7
1.51131e+06,6,10
1.51231e+06,5,6
1.51331e+06,6,6
1.51431e+06,5,10
1.51531e+06,10,14
