Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.73611e+06,6,7
1.73711e+06,6,6
1.73811e+06,7,8
1.73911e+06,9,16
1.7404e+06,8,6
1.7414e+06,5,6
1.7424e+06,5,8
1.7434e+06,5,7
1.74476e+06,8,13
1.74576e+06,12,7
1.74676e+06,9,15
1.74776e+06,6,7
1.74868e+06,9,8
1.74968e+06,14,7
1.75068e+06,10,6
1.75168e+06,6,7
1.75268e+06,6,2
1.75368e+06,4,7
1.75468e+06,4,9
1.75568e+06,6,12
1.75695e+06,11,5
1.75795e+06,7,7
1.75895e+06,7,12
1.75995e+06,5,8
1.76095e+06,9,12
1.76195e+06,9,13
1.76295e+06,9,12
1.76395e+06,6,7
1.76495e+06,4,7
1.76563e+06,5,9
1.76663e+06,5,4
1.76763e+06,10,14
1.76863e+06,6,7
1.76963e+06,9,6
1.77063e+06,9,9
1.77163e+06,8,9
1.77263e+06,12,15
1.77363e+06,6,10
1.77428e+06,8,7
1.77528e+06,7,7
1.77628e+06,6,5
1.77728e+06,5,10
1.77828e+06,5,5
1.77928e+06,4,5
1.78028e+06,8,8
1.78128e+06,5,3
1.78228e+06,7,8
1.78294e+06,10,6
1.78394e+06,9,9
1.78494e+06,12,6
1.78594e+06,10,4
1.78694e+06,8,3
1.78794e+06,5,8
1.78894e+06,13,8
1.78994e+06,8,4
1.79119e+06,10,4
1.79219e+06,9,8
1.79319e+06,11,8
1.79419e+06,10,11
1.79519e+06,9,7
1.79619e+06,7,13
1.79719e+06,8,8
1.79819e+06,7,11
1.79919e+06,6,8
1.79992e+06,7,6
1.80092e+06,7,8
1.80192e+06,8,6
1.80292e+06,8,10
1.80392e+06,8,6
1.80492e+06,4,8
1.80592e+06,7,12
1.80692e+06,8,6
1.80792e+06,10,10
1.8086e+06,8,5
1.8096e+06,7,6
1.8106e+06,11,8
1.8116e+06,9,4
1.8126e+06,7,8
1.8136e+06,7,7
1.8146e+06,8,6
1.8156e+06,8,5
1.81675e+06,8,9
1.81775e+06,9,9
1.81875e+06,10,7
1.81975e+06,9,9
1.82075e+06,10,9
1.82175e+06,12,8
1.82275e+06,13,6
1.82375e+06,10,9
1.82475e+06,12,9
1.82581e+06,10,13
1.82681e+06,10,8
1.82781e+06,8,8
1.82881e+06,10,14
1.82981e+06,6,5
1.83081e+06,8,3
1.83181e+06,10,10
1.83281e+06,10,7
1.83381e+06,13,14
1.83446e+06,5,11
1.83546e+06,7,10
1.83646e+06,7,6
1.83746e+06,10,7
1.83846e+06,9,12
1.83946e+06,12,2
1.84046e+06,12,8
1.84146e+06,9,11
1.84246e+06,9,5
1.84317e+06,12,12
1.84417e+06,9,9
1.84517e+06,9,11
1.84617e+06,9,9
1.84717e+06,12,10
1.84817e+06,10,10
1.84917e+06,7,7
1.85017e+06,7,10
1.85117e+06,5,12
