Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.03019e+06,11,11
1.03119e+06,9,11
1.03219e+06,9,9
1.03319e+06,7,5
1.03419e+06,8,11
1.03519e+06,11,3
1.03619e+06,9,13
1.03711e+06,7,3
1.03811e+06,11,11
1.03911e+06,9,10
1.04011e+06,10,16
1.04111e+06,7,14
1.04211e+06,9,9
1.04332e+06,10,11
1.04432e+06,9,10
1.04532e+06,8,9
1.04632e+06,8,11
1.04732e+06,7,10
1.04832e+06,9,3
1.04932e+06,7,5
1.05034e+06,8,10
1.05134e+06,9,3
1.05234e+06,10,7
1.05334e+06,7,9
1.05434e+06,10,12
1.05534e+06,10,7
1.05634e+06,8,6
1.05734e+06,9,6
1.05829e+06,8,7
1.05929e+06,11,5
1.06029e+06,8,11
1.06129e+06,10,6
1.06229e+06,10,11
1.06329e+06,8,8
1.06429e+06,9,9
1.06529e+06,13,5
1.06609e+06,13,8
1.06709e+06,7,6
1.06809e+06,8,3
1.06909e+06,9,3
1.07009e+06,9,2
1.07109e+06,11,8
1.07209e+06,9,3
1.07309e+06,7,9
1.07403e+06,6,7
1.07503e+06,8,5
1.07603e+06,8,12
1.07703e+06,8,13
1.07803e+06,8,12
1.07903e+06,9,9
1.08003e+06,8,12
1.08103e+06,6,9
1.08219e+06,8,7
1.08319e+06,9,7
1.08419e+06,8,4
1.08519e+06,10,5
1.08619e+06,9,5
1.08719e+06,10,7
1.08819e+06,12,4
1.08921e+06,12,10
1.09021e+06,8,3
1.09121e+06,10,11
1.09221e+06,13,11
1.09321e+06,8,19
1.09421e+06,10,9
1.09521e+06,5,12
1.09621e+06,9,12
1.0975e+06,8,8
1.0985e+06,10,6
1.0995e+06,8,12
1.1005e+06,7,8
1.1015e+06,9,9
1.1025e+06,6,8
1.1035e+06,7,10
1.1045e+06,8,7
1.10507e+06,7,3
1.10607e+06,10,7
1.10707e+06,9,11
1.10807e+06,4,5
1.10907e+06,7,11
1.11007e+06,7,7
1.11107e+06,9,7
1.11207e+06,4,3
