Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.51597e+06,11,15
1.51697e+06,7,11
1.51797e+06,6,11
1.51897e+06,5,6
1.51997e+06,4,2
1.52097e+06,4,3
1.52197e+06,2,2
1.52297e+06,8,7
1.52397e+06,5,5
1.52497e+06,8,5
1.52597e+06,5,6
1.52697e+06,9,2
1.52797e+06,8,9
1.52897e+06,7,7
1.52997e+06,4,7
1.53097e+06,4,9
1.53197e+06,4,5
1.53297e+06,2,5
1.53397e+06,9,9
1.53497e+06,6,10
1.53597e+06,4,5
1.53697e+06,6,7
1.53797e+06,12,12
1.53897e+06,10,5
1.53997e+06,8,6
1.54097e+06,6,8
1.54197e+06,7,7
1.54297e+06,6,5
1.54397e+06,5,11
1.54497e+06,4,9
1.54597e+06,6,9
1.54697e+06,6,7
1.54797e+06,8,8
1.54897e+06,5,6
1.54997e+06,5,2
1.55097e+06,6,3
1.55197e+06,8,10
1.55297e+06,7,7
1.55397e+06,7,10
1.55497e+06,7,9
1.55597e+06,5,9
1.55697e+06,4,7
1.55797e+06,5,7
1.55897e+06,6,5
1.55997e+06,10,10
1.56097e+06,7,7
1.56197e+06,6,8
1.56297e+06,7,13
1.56397e+06,3,7
1.56497e+06,5,6
1.56597e+06,5,4
1.56697e+06,4,6
1.56791e+06,5,4
1.56891e+06,5,9
1.56991e+06,2,1
1.57091e+06,4,6
1.57191e+06,5,5
1.57291e+06,4,4
1.57391e+06,6,7
1.57491e+06,3,10
1.57591e+06,7,13
1.57691e+06,8,7
1.57791e+06,7,4
1.57891e+06,5,8
1.57991e+06,5,11
1.58091e+06,6,7
1.58191e+06,8,7
1.58291e+06,5,3
1.58391e+06,5,6
1.58491e+06,6,5
1.58591e+06,6,11
1.58691e+06,5,6
1.58791e+06,4,6
1.58891e+06,6,4
1.58991e+06,7,6
1.59091e+06,8,8
1.59191e+06,6,11
1.59291e+06,4,7
1.59391e+06,4,6
1.59491e+06,7,1
1.59591e+06,7,9
1.59691e+06,10,10
1.59791e+06,7,5
1.59891e+06,7,9
1.59991e+06,6,7
1.60091e+06,7,7
1.60191e+06,7,5
1.60291e+06,5,6
1.60391e+06,8,8
1.60491e+06,10,9
1.60591e+06,8,10
1.60691e+06,8,7
1.60791e+06,9,10
1.60891e+06,8,5
1.60991e+06,8,7
1.61091e+06,8,6
1.61191e+06,6,3
1.61291e+06,7,5
1.61391e+06,5,8
1.61491e+06,7,5
1.61591e+06,10,11
1.61691e+06,9,8
1.61791e+06,8,7
1.61891e+06,7,16
1.61991e+06,8,11
1.62091e+06,9,5
1.62191e+06,9,6
1.62291e+06,8,10
1.62391e+06,9,8
1.62491e+06,10,8
1.62591e+06,12,10
1.62691e+06,10,9
1.62791e+06,10,11
1.62891e+06,7,4
1.62991e+06,10,13
1.63091e+06,9,10
1.6317e+06,7,8
1.6327e+06,9,5
1.6337e+06,11,10
1.6347e+06,6,5
1.6357e+06,7,9
1.6367e+06,8,12
1.6377e+06,7,4
1.63919e+06,6,5
1.64019e+06,11,6
1.64119e+06,8,12
1.64219e+06,8,15
1.64319e+06,9,11
1.64419e+06,7,8
1.64519e+06,10,9
1.64619e+06,6,10
1.64719e+06,11,11
1.64812e+06,13,11
1.64912e+06,11,4
1.65012e+06,8,7
1.65112e+06,15,14
1.65212e+06,8,7
1.65312e+06,10,11
1.65412e+06,9,11
1.65512e+06,4,6
1.65612e+06,6,11
