Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.40294e+06,6,6
1.40394e+06,5,8
1.40494e+06,5,7
1.40594e+06,4,5
1.40694e+06,2,6
1.40794e+06,4,9
1.40894e+06,4,11
1.40994e+06,5,5
1.41094e+06,6,11
1.41194e+06,4,10
1.41294e+06,6,4
1.41394e+06,5,5
1.41494e+06,2,4
1.41594e+06,7,5
1.41694e+06,6,2
1.41794e+06,5,4
1.41894e+06,7,6
1.41994e+06,2,6
1.42094e+06,5,9
1.42194e+06,4,3
1.42294e+06,5,8
1.42394e+06,5,4
1.42494e+06,4,4
1.42594e+06,7,10
1.42694e+06,4,4
1.42794e+06,7,10
1.42894e+06,5,4
1.42994e+06,4,5
1.43094e+06,4,5
1.43194e+06,7,5
1.43294e+06,3,3
1.43394e+06,1,1
1.43494e+06,2,1
1.43594e+06,4,8
1.43694e+06,5,3
1.43794e+06,4,5
1.43894e+06,4,8
1.43994e+06,4,6
1.44094e+06,4,4
1.44194e+06,4,7
1.44294e+06,4,7
1.44394e+06,7,8
1.44494e+06,2,5
1.44594e+06,4,8
1.44694e+06,8,4
1.44794e+06,11,6
1.44894e+06,6,5
1.44994e+06,7,12
1.45094e+06,6,6
1.45194e+06,5,10
1.45294e+06,4,6
1.45394e+06,5,11
1.45494e+06,8,4
1.45594e+06,10,17
1.45694e+06,7,7
1.45794e+06,4,12
1.45894e+06,3,8
1.45994e+06,4,4
1.46094e+06,8,3
