Time (ps),Hydrogen bonds,Pairs within 0.35 nm
1.96212e+06,4,9
1.96312e+06,6,9
1.96412e+06,2,6
1.96512e+06,4,9
1.96612e+06,7,5
1.96712e+06,6,9
1.96812e+06,4,11
1.96912e+06,4,11
1.97012e+06,7,5
1.97111e+06,5,7
1.97211e+06,3,6
1.97311e+06,8,8
1.97411e+06,4,11
1.97511e+06,4,6
1.97611e+06,9,5
1.97711e+06,4,8
1.97811e+06,8,12
1.97911e+06,9,11
1.97978e+06,6,9
1.98078e+06,5,9
1.98178e+06,4,7
1.98278e+06,8,9
1.98378e+06,6,6
1.98478e+06,5,4
1.98578e+06,2,10
1.98678e+06,9,9
1.98778e+06,11,8
1.98844e+06,7,6
1.98944e+06,14,14
1.99044e+06,9,8
1.99144e+06,10,9
1.99244e+06,9,11
1.99344e+06,9,7
1.99444e+06,7,3
1.99544e+06,9,7
1.99692e+06,9,7
1.99792e+06,12,13
1.99892e+06,4,10
2e+06,11,8
2.001e+06,9,8
2.002e+06,7,8
2.003e+06,9,14
2.004e+06,12,7
2.005e+06,7,18
2.006e+06,8,6
2.007e+06,6,11
2.008e+06,9,6
2.00872e+06,9,8
2.00972e+06,10,7
2.01072e+06,6,7
2.01172e+06,7,10
2.01272e+06,10,6
2.01372e+06,9,8
2.01472e+06,12,15
2.01572e+06,7,8
2.01672e+06,9,6
2.01739e+06,5,5
2.01839e+06,5,7
2.01939e+06,7,5
2.02039e+06,7,11
2.02139e+06,8,6
2.02239e+06,8,5
2.02339e+06,10,13
2.02439e+06,9,4
2.02539e+06,7,6
2.02607e+06,9,6
2.02707e+06,7,5
2.02807e+06,6,7
2.02907e+06,5,7
2.03007e+06,7,7
2.03107e+06,6,4
2.03207e+06,5,6
2.03307e+06,6,3
2.03407e+06,5,6
2.03522e+06,4,5
2.03622e+06,5,5
2.03722e+06,5,8
2.03822e+06,5,7
2.03922e+06,4,7
2.04022e+06,5,10
2.04122e+06,5,5
2.04222e+06,8,7
2.04372e+06,5,6
2.04472e+06,7,7
2.04572e+06,6,10
2.04672e+06,7,8
2.04772e+06,6,11
2.04872e+06,8,9
2.04972e+06,5,6
2.05072e+06,10,14
2.05221e+06,7,11
2.05321e+06,7,11
2.05421e+06,6,10
2.05521e+06,11,17
2.05621e+06,8,9
2.05721e+06,9,9
2.05821e+06,6,7
2.05921e+06,6,12
2.06061e+06,6,12
2.06161e+06,5,5
2.06261e+06,5,6
2.06361e+06,10,8
2.06461e+06,9,11
2.06561e+06,11,11
2.06661e+06,8,9
2.06761e+06,9,8
2.06861e+06,7,6
2.06914e+06,9,9
2.07014e+06,6,12
2.07114e+06,7,10
2.07214e+06,8,8
2.07314e+06,8,7
2.07414e+06,6,8
2.07514e+06,6,3
2.07614e+06,10,3
2.07675e+06,4,10
2.07775e+06,6,7
2.07875e+06,7,4
2.07975e+06,6,5
2.08075e+06,6,4
2.08175e+06,6,1
2.08275e+06,4,10
2.08375e+06,5,2
2.08475e+06,6,8
2.08537e+06,5,8
2.08637e+06,4,5
2.08737e+06,5,5
2.08837e+06,8,6
2.08937e+06,4,8
2.09037e+06,6,10
2.09137e+06,3,2
2.09237e+06,5,7
2.09337e+06,5,4
2.09437e+06,7,7
