Time (ps),fter lsq fit to Backbone
0.0000000,0.0005196
1.0000000,0.2044762
2.0000000,0.2376217
3.0000002,0.2804819
4.0000000,0.2777068
5.0000000,0.2827791
6.0000005,0.2638973
7.4300003,0.2569010
8.4300003,0.2829958
9.4300003,0.2915533
10.4300003,0.2781003
11.4300003,0.2624688
12.4300003,0.2268364
13.4300003,0.2389675
14.3600006,0.2639372
15.3600006,0.2763757
16.3600006,0.2701796
17.3600006,0.3131741
18.3600006,0.3260669
19.3600006,0.2816612
20.3600006,0.2953217
21.3600006,0.2810130
22.3600006,0.2655153
23.3600006,0.2957519
24.3600006,0.2865054
25.3600006,0.2769692
26.3600006,0.2812242
27.3600006,0.2824435
28.2600021,0.2834766
29.2600021,0.2870147
30.2600021,0.3165544
31.2600021,0.3168160
32.2600021,0.2488586
33.2600021,0.2714699
34.2600021,0.2317810
35.2600021,0.2554625
36.5600014,0.2379451
37.5600014,0.2338410
38.5600014,0.2180494
39.5600014,0.2375760
40.5600014,0.2496699
41.5600014,0.2791532
42.5600014,0.2307876
43.5600014,0.2261865
44.9000015,0.2302297
45.9000015,0.2570350
46.9000015,0.2609080
47.9000015,0.2769642
48.9000015,0.2897899
49.9000015,0.3375540
50.9000015,0.3286733
51.9500008,0.3130532
52.9500008,0.2857505
53.9500008,0.2879118
54.9500008,0.3260656
55.9500008,0.3303539
56.9500046,0.2951200
57.9500046,0.3035998
58.8500023,0.2737314
59.8500023,0.2620258
60.8500023,0.2459846
61.8500023,0.2784298
62.8500023,0.2635228
63.8500023,0.2496940
65.2500000,0.2639835
66.2500000,0.2803137
67.2500000,0.2799214
68.2500000,0.2574519
69.2500000,0.2631091
70.2500000,0.2745842
71.2500000,0.2784639
72.1000061,0.2543873
73.1000061,0.2723258
74.1000061,0.2843837
75.1000061,0.2724377
76.1000061,0.2764560
77.1000061,0.2625522
78.1000061,0.2762038
79.1000061,0.2734327
80.4600067,0.2933013
81.4600067,0.3076133
82.4600067,0.3255302
83.4600067,0.3197210
84.4600067,0.3066108
85.4600067,0.2909395
86.4600067,0.3074102
87.3700027,0.3080334
88.3700027,0.3073452
89.3700027,0.2936747
90.3700027,0.2776894
91.3700027,0.2896923
92.3700027,0.3082205
93.3700027,0.3184706
94.3000031,0.3011319
95.3000031,0.2993123
96.3000031,0.3206125
97.3000031,0.3062817
98.3000031,0.3019055
99.3000031,0.3070395
100.3000031,0.3152203
101.3000031,0.3185627
102.0400085,0.3051591
103.0400085,0.3039585
104.0400085,0.3227819
105.0400085,0.3274706
106.0400085,0.3221151
107.0400085,0.3300507
108.0400085,0.3304459
108.9400024,0.3695343
109.9400024,0.3631313
110.9400024,0.3394225
111.9400024,0.3312571
112.9400024,0.3133130
113.9400024,0.3340945
114.9400024,0.3128370
115.8800049,0.3068438
116.8800049,0.3114642
117.8800049,0.3618338
118.8800049,0.3007623
119.8800049,0.3078839
120.8800049,0.3168780
121.8800049,0.3226903
123.3200073,0.2868323
124.3200073,0.3257507
125.3200073,0.3208191
126.3200073,0.3374106
127.3200073,0.3458941
128.3200073,0.3265378
129.3200073,0.3118574
130.3200073,0.3121030
131.7000122,0.3207827
132.7000122,0.3315008
133.7000122,0.3195481
134.7000122,0.3255807
135.7000122,0.3216830
136.7000122,0.3180864
137.7000122,0.3074412
138.6100006,0.3225066
139.6100006,0.3428196
140.6100006,0.3138642
141.6100006,0.3145241
142.6100006,0.3082628
143.6100006,0.2978100
144.6100006,0.3179417
145.6100006,0.3148884
146.2200012,0.3136271
147.2200012,0.3121672
148.2200012,0.3236870
149.2200012,0.3068273
150.2200012,0.3096114
151.2200012,0.3039197
152.2200012,0.3154164
153.2200012,0.3176483
154.2200012,0.3235179
154.8200073,0.3295273
155.8200073,0.3099714
156.8200073,0.3302464
157.8200073,0.3132995
158.8200073,0.3110780
159.8200073,0.3107094
160.8200073,0.2884938
161.6600037,0.3110421
162.6600037,0.3144644
163.6600037,0.3225579
164.6600037,0.3232025
165.6600037,0.3122686
166.6600037,0.2934478
167.8800049,0.3066176
168.8800049,0.3434856
169.8800049,0.3037851
170.8800049,0.3208262
171.8800049,0.3195760
172.8800049,0.3123993
173.8800049,0.2899048
174.6900024,0.3133613
175.6900024,0.3164129
176.6900024,0.2998695
177.6900024,0.3107224
178.6900024,0.3112493
179.6900024,0.3250913
180.6900024,0.3144966
181.6900024,0.3061239
182.8600159,0.3635219
183.8600159,0.3504767
184.8600159,0.3334800
